,description,id,location,name,price,seller,strikethrough-price,url
1142,"It's time to update your jewelry box! Freshen up your look with this fiercely fabulous trio of earrings. Featuring sterling silver knot, pearl ball...",159087,,3 Pairs of Sterling Silver Earrings,$11.99,,$149.99,https://www.livingsocial.com/products/us/tag/fashion/159087-3-pairs-of-sterling-silver-earrings?pos=1142
1143,"
Sterling silver rhodium plated/14k gold plated 
16"" L diamond cut cable chain with 2"" extender
9mm round genuine pearl pendant
Spring lock closure...",158877,,Sterling Silver Pearls of Hope Necklace,$12.99,,$125,https://www.livingsocial.com/products/us/tag/fashion/158877-sterling-silver-pearls-of-hope-necklace?pos=1143
1144,"Featuring dozens of Swarovski Elements crystals in a warm 18K rose gold plated setting, this versatile ring is perfect for the office or a night on...",158231,,Autumn Flames 18K Rose Gold Plated Ring,$9.99,,$69.99,https://www.livingsocial.com/products/us/tag/fashion/158231-autumn-flames-18k-rose-gold-plated-ring?pos=1144
1145,"No two snowflakes are alike, and you'll feel equally as special in these sparkling earrings made with genuine Swarovski Element crystals. Simple, e...",157821,,Swarovski Element SnowFlake Stud Earrings,$9.99,,$35,https://www.livingsocial.com/products/us/tag/fashion/157821-swarovski-element-snowflake-stud-earrings?pos=1145
1146,"A little positive can go a long way! Brushed bars of gold, silver and copper finishes each with words of inspiration: 


Dream–Believe–Achieve
Fait...",157177,,Essence of Life 3-Piece Necklace Set  - 3 Options,$9.99,,$40,https://www.livingsocial.com/products/us/tag/fashion/157177-essence-of-life-3-piece-necklace-set-3-options?pos=1146
1147,"These stunning earrings feature a small Swarovski element stud earring, with a larger Swarovski element dangling charm for double sparkle.  


Size...",154927,,Shimmering Star Swarosvki Elements Earrings,$14.99,,$129,https://www.livingsocial.com/products/us/tag/fashion/154927-shimmering-star-swarosvki-elements-earrings?pos=1147
1148,"Slice and dice with the ease of scissors with this genius product! 

They feel just like normal kitchen scissors, but allow you to chop veggies and...",154657,,Stainless Steel Chopping Scissors,$12.99,,$30,https://www.livingsocial.com/products/us/tag/home-goods/154657-stainless-steel-chopping-scissors?pos=1148
1149,A hand-made one inch wide genuine white leather and inter-braided rhinestone crystal on cup chain bracelet.  Perfect for any season and a range of ...,160511,,Braided Leather and Crystal Bracelet,$19.99,,$65,https://www.livingsocial.com/products/us/tag/fashion/160511-braided-leather-and-crystal-bracelet?pos=1149
1150,A single teardrop suspended from a delicate chain.  This beautiful pendant necklace displays a pear-cut stone with crystal accents made with SWAROV...,160467,,Tear-Drop Crystal Necklace made with SWAROVSKI® ELEMENTS - Rose,$24.99,,$119,https://www.livingsocial.com/products/us/tag/fashion/160467-tear-drop-crystal-necklace-made-with-swarovski-elements-rose?pos=1150
1151,"Ladies black leather bracelet with Swarovski Elements 18k white gold plated alloy moon and 'I love you the moon and beyond' charm. Lobster clasp.

...",160371,,Swarovski Elements I Love You to the Moon and Beyond Bracelet,$9.99,,$199.99,https://www.livingsocial.com/products/us/tag/fashion/160371-swarovski-elements-i-love-you-to-the-moon-and-beyond-bracelet?pos=1151
1152,Advanced Intensive Concentrate is a new anti-wrinkle face cream with a potent combination of anti-aging technology. Collagex-CE Wrinkle RepairCompl...,160331,,Strivectin-SD Intensive Concentrate for Stretch Marks & Wrinkles 2oz,$39.99,,$70,https://www.livingsocial.com/products/us/tag/beauty/160331-strivectin-sd-intensive-concentrate-for-stretch-marks-wrinkles-2oz?pos=1152
1153,"
Sterling silver rhodium plated
5mm round cut genuine gemstone center stone
AAA quality center stone
Lead and nickel free
Gift pouch included

",160287,,2 CTW Genuine Sapphire Stud Earrings,$9.99,,$99.99,https://www.livingsocial.com/products/us/tag/fashion/160287-2-ctw-genuine-sapphire-stud-earrings?pos=1153
1154,"The Smart Relief Ultimate Massager is a must for athletes, body builders and anyone with extreme pain, especially anybody sitting at a desk using a...",160221,,Smart Relief Ultimate + Free Jumbo Pads,$32.99,,$349.99,https://www.livingsocial.com/products/us/tag/health/160221-smart-relief-ultimate-free-jumbo-pads?pos=1154
1155,"We're excited to now offer this popular style in XL and XXL sizes!

This super comfy top comes in 4 colors and it features cut-out straps that goes...",150781,,"""Cut Loose"" Long Sleeve Shirt - Plus Sizes",$19.99,,$72,https://www.livingsocial.com/products/us/tag/fashion/150781-cut-loose-long-sleeve-shirt-plus-sizes?pos=1155
1156,"
Measures 16"" wide, 13"" tall and 5.9"" deep.
2 zippers and 2 buttoned pockets outside.
Inside wall has lining with pockets for smartphone and sungla...",150477,,Uptown Journey Canvas Bag + Free RFID Blocker Wallet - 5 Colors,$44.99,,$129,https://www.livingsocial.com/products/us/tag/fashion/150477-uptown-journey-canvas-bag-free-rfid-blocker-wallet-5-colors?pos=1156
1157,"Spoil yourself or someone you love with these irresistible 18K white silver sapphire earrings. Great for any occasion, these uniquely beautiful ear...",150271,,18K White Silver Sapphire Earrings,$9.99,,$69.99,https://www.livingsocial.com/products/us/tag/fashion/150271-18k-white-silver-sapphire-earrings?pos=1157
1158,"
The Claw! Extended Back Scratcher!
(4) Piece Set includes of of each color in Black, Blue, Red &amp; Brown
Instant itch relief...within your reach...",149567,,Extendable Bear Claw Back Scratcher - 4 Pack,$11.99,,$40,https://www.livingsocial.com/products/us/tag/health/149567-extendable-bear-claw-back-scratcher-4-pack?pos=1158
1159,"
Material: 18K white gold plated
Setting: Made with Swarovski Elements
Dimensions of stone: 3.4cm x 2.1cm
18 inch long necklace
Arriving in a beaut...",149251,,Sapphire Blue Chambered Heart White Gold Swarovski Crystal Necklace,$9.99,,$39.99,https://www.livingsocial.com/products/us/tag/fashion/149251-sapphire-blue-chambered-heart-white-gold-swarovski-crystal-necklace?pos=1159
1160,"We're excited to now offer this popular style in XL and XXL sizes!

This super comfy top comes in 4 colors and it features cut-out straps that goes...",150781,,"""Cut Loose"" Long Sleeve Shirt - Plus Sizes",$19.99,,$72,https://www.livingsocial.com/products/us/tag/fashion/150781-cut-loose-long-sleeve-shirt-plus-sizes?pos=1160
1161,"
Measures 16"" wide, 13"" tall and 5.9"" deep.
2 zippers and 2 buttoned pockets outside.
Inside wall has lining with pockets for smartphone and sungla...",150477,,Uptown Journey Canvas Bag + Free RFID Blocker Wallet - 5 Colors,$44.99,,$129,https://www.livingsocial.com/products/us/tag/fashion/150477-uptown-journey-canvas-bag-free-rfid-blocker-wallet-5-colors?pos=1161
1162,"Spoil yourself or someone you love with these irresistible 18K white silver sapphire earrings. Great for any occasion, these uniquely beautiful ear...",150271,,18K White Silver Sapphire Earrings,$9.99,,$69.99,https://www.livingsocial.com/products/us/tag/fashion/150271-18k-white-silver-sapphire-earrings?pos=1162
1163,"
The Claw! Extended Back Scratcher!
(4) Piece Set includes of of each color in Black, Blue, Red &amp; Brown
Instant itch relief...within your reach...",149567,,Extendable Bear Claw Back Scratcher - 4 Pack,$11.99,,$40,https://www.livingsocial.com/products/us/tag/health/149567-extendable-bear-claw-back-scratcher-4-pack?pos=1163
1164,"
Material: 18K white gold plated
Setting: Made with Swarovski Elements
Dimensions of stone: 3.4cm x 2.1cm
18 inch long necklace
Arriving in a beaut...",149251,,Sapphire Blue Chambered Heart White Gold Swarovski Crystal Necklace,$9.99,,$39.99,https://www.livingsocial.com/products/us/tag/fashion/149251-sapphire-blue-chambered-heart-white-gold-swarovski-crystal-necklace?pos=1164
1165,An advanced yoga practice that will take you to the next level. Critically acclaimed yoga instructor Vytas Baskauskas expertly guides you through s...,137564,,Deepen Your Practice - Advanced Yoga DVD Set,$72.99,,$120,https://www.livingsocial.com/products/us/tag/health/137564-deepen-your-practice-advanced-yoga-dvd-set?pos=1165
1166,"These dazzling earrings feature unique clusters of Swarovski element crystals set in 18K Italian rose gold plate or white gold plate.

The earrings...",133494,,Periwinkle Drop Earrings with Swarovski Element Crystals - 10 Styles,$23.99,,$69,https://www.livingsocial.com/products/us/tag/fashion/133494-periwinkle-drop-earrings-with-swarovski-element-crystals-10-styles?pos=1166
1167,"With glittery details that make this perfect for any event or season, this gorgeous princess-style scarf can be draped over your shoulders or wrapp...",126904,,Sheer Lace Fringe Shawl Scarf,$11.99,,$49,https://www.livingsocial.com/products/us/tag/fashion/126904-sheer-lace-fringe-shawl-scarf?pos=1167
1168,"Newlywed?  Oldlywed but still in love?  This shirt is for you!  Show the world you're the best husband in the world!

Features:
* Soft, Stylish, Ve...",112844,,Best Husband Ever Tshirt,$13.99,,$30,https://www.livingsocial.com/products/us/tag/fashion/112844-best-husband-ever-tshirt?pos=1168
1169,"The BrightTherapy Professional Sonic beauty care system. Waterproof! Includes 5 interchangeable heads designed for cleansing, exfoliation, hydratio...",111504,,Professional Waterproof Face & Body Skin Cleansing System,$29.99,,$99,https://www.livingsocial.com/products/us/tag/beauty/111504-professional-waterproof-face-body-skin-cleansing-system?pos=1169
1170,"This incredible device helps children learn by using  8 functions, which include: learning mobile skills, piano, colors, fruits, drums, games, math...",159807,,Kids' Multifunctional Learning Touchscreen Smartphone,$9.99,,$32.99,https://www.livingsocial.com/products/us/tag/kids-pets/159807-kids-multifunctional-learning-touchscreen-smartphone?pos=1170
1171,"Microfiber Bedskirt/Dust Ruffle with super soft comfort that brings luxury and style to your bedroom.
",159517,,1500 Series Microfiber Bed Skirt/Ruffle Egyptian Quality,$12.99,,$30,https://www.livingsocial.com/products/us/tag/home-goods/159517-1500-series-microfiber-bed-skirt-ruffle-egyptian-quality?pos=1171
1172,"Deliver your Holiday Gifts in these adorable Santa Pants Holiday Gift Bags and spread some cheer this Holiday Season! 
",159371,,Santa Pants Holiday Gift Bag - 3 Pack,$9.99,,$24.99,https://www.livingsocial.com/products/us/tag/home-goods/159371-santa-pants-holiday-gift-bag-3-pack?pos=1172
1173,"Decorate your Holiday Table with these adorable Santa Silverware Holders and spread some
cheer this Holiday Season!  

Set includes:

6 pieces; 3 t...",159357,,Santa Silverware Holder - 6 pc Set,$9.99,,$39.99,https://www.livingsocial.com/products/us/tag/home-goods/159357-santa-silverware-holder-6-pc-set?pos=1173
1174,Explore a realm of unmatched beauty and romance with this pair of stunning Crystal in a Rose earrings embellished with Swarovski Element crystals i...,153931,,Crystal in a Rose Earrings,$19.99,,$49,https://www.livingsocial.com/products/us/tag/fashion/153931-crystal-in-a-rose-earrings?pos=1174
1175,"Get this beautiful personalized necklace, perfect for any occasion and gifting to your loved ones.


18-Karat Gold Plated
Smooth And comfort Fit
Co...",153681,,18kt Gold Personalized Monogram Disc Necklace - 3 Colors,$12.99,,$89.99,https://www.livingsocial.com/products/us/tag/fashion/153681-18kt-gold-personalized-monogram-disc-necklace-3-colors?pos=1175
1176,"In the center of the business and cultural district, guests at The Westin Convention Center, Pittsburgh have easy access to a variety of local attr...",13341,Pittsburgh,The Westin Convention Center Pittsburgh,$193,"The Westin Convention Center Pittsburgh : Pittsburgh, PA",,https://www.livingsocial.com/escapes/properties/60879?td=13341&pos=1176
1177,"Fix mismatched connections with your garden hoses with this simple no-cut coupling system. With a quick quarter turn, you can easily hook up sprink...",169966,,Hose Link - Conversion Kit,$9.99,,$19.98,https://www.livingsocial.com/products/us/169966-hose-link-conversion-kit?pos=1177
1178,"Our tees are printed on our super soft ringspun tees.  Exclusively designed at Crazy Dog T-shirts.  You'll love the fit and feel of our tees.
",169946,,Funny Groom T-shirt,$13.99,,$26.99,https://www.livingsocial.com/products/us/tag/fashion/169946-funny-groom-t-shirt?pos=1178
1179,"The benefits of saffron extract are both profound and unique. Saffron extract from genetic solutions may be a healthy way to control appetite, and ...",169836,,Weight Loss Kit - Liquid Saffron-Fast Absorbing w Free Waist Trimmer,$14.99,,$79.98,https://www.livingsocial.com/products/us/tag/health/169836-weight-loss-kit-liquid-saffron-fast-absorbing-w-free-waist-trimmer?pos=1179
1180,"Make your garden glow! Add a beautiful glowing butterfly to your garden for some evening relaxation. 

This Solar Butterfly Garden Light has an int...",169960,,Solar Butterfly Garden Light,$9.99,,$19.98,https://www.livingsocial.com/products/us/tag/home-goods/169960-solar-butterfly-garden-light?pos=1180
1181,"Fix mismatched connections with your garden hoses with this simple no-cut coupling system. With a quick quarter turn, you can easily hook up sprink...",169966,,Hose Link - Conversion Kit,$9.99,,$19.98,https://www.livingsocial.com/products/us/169966-hose-link-conversion-kit?pos=1181
1182,"Our tees are printed on our super soft ringspun tees.  Exclusively designed at Crazy Dog T-shirts.  You'll love the fit and feel of our tees.
",169946,,Funny Groom T-shirt,$13.99,,$26.99,https://www.livingsocial.com/products/us/tag/fashion/169946-funny-groom-t-shirt?pos=1182
1183,This compact cosmetic bag will organize your beauty essentials neatly in one place with a double layer design to ensure a more neat organization. S...,169120,,Makeup Cosmetic Bag Travel Case - Assorted Colors,$9.99,,$59.99,https://www.livingsocial.com/products/us/tag/beauty/169120-makeup-cosmetic-bag-travel-case-assorted-colors?pos=1183
1184,Heighten the drama of your elegant living room by adding these Blackout Energy-Saving Window Panel Curtains to your windows. Their blackout feature...,169090,,2-Piece Set: Geometric Blackout Curtain Panel,$34.99,,$149.99,https://www.livingsocial.com/products/us/tag/home-goods/169090-2-piece-set-geometric-blackout-curtain-panel?pos=1184
1185,"DAWGS Women's Frost Kaymann Slip-on Shoes are made of durable, softer and more flexible material than other glitter shoes. These shoes won't lose t...",169076,,Frost Kaymann Women's Loafer - Various Colors,$12.99,,$39.99,https://www.livingsocial.com/products/us/tag/fashion/169076-frost-kaymann-women-s-loafer-various-colors?pos=1185
1186,Most customers have heard about Garcinia Camgobia from the Dr Oz Show. He supports the Supplement but is in no way connected to our brand. We made ...,169036,,3 Bottles Garcinia Cambogia Extract - 60% HCA Weight Loss,$19.99,,$49.99,https://www.livingsocial.com/products/us/tag/health/169036-3-bottles-garcinia-cambogia-extract-60-hca-weight-loss?pos=1186
1187,This 1.5 inch silver or gold plated filigree heart pendant holds a collection of crystals that symbolize the treasured memories you share with some...,168970,,Sweet Memories Filigree Pendant in Gold or Silver Plating,$11.99,,$59.95,https://www.livingsocial.com/products/us/tag/fashion/168970-sweet-memories-filigree-pendant-in-gold-or-silver-plating?pos=1187
1188,"The benefits of saffron extract are both profound and unique. Saffron extract from genetic solutions may be a healthy way to control appetite, and ...",169836,,Weight Loss Kit - Liquid Saffron-Fast Absorbing w Free Waist Trimmer,$14.99,,$79.98,https://www.livingsocial.com/products/us/tag/health/169836-weight-loss-kit-liquid-saffron-fast-absorbing-w-free-waist-trimmer?pos=1188
1189,"24 Hour Fat Burning Kit: Belly Blaster is a targeted cutting-edge solution, attacking the issue of weight management from three separate directions...",169856,,Belly Blaster AM/PM 24 Hour Weight Loss,$29.99,,$100.99,https://www.livingsocial.com/products/us/tag/health/169856-belly-blaster-am-pm-24-hour-weight-loss?pos=1189
1190,"Enigma Perfume By Alexandra De Markoff For Women Essence Mist Spray 1.7 Oz / 50 Ml
",169850,,Enigma Perfume By Alexandra De Markoff For Women 1.7 Oz / 50 Ml,$46.99,,$65,https://www.livingsocial.com/products/us/tag/beauty/169850-enigma-perfume-by-alexandra-de-markoff-for-women-1-7-oz-50-ml?pos=1190
1191,Our weight loss detox kit is one of the few diet kits that effectively provides the dosages for cleansing and weight loss how does It work? The ben...,169830,,Garcinia Cambogia Weight Loss Kit w/ Colon Cleanse and Detox,$29.99,,$49.99,https://www.livingsocial.com/products/us/tag/health/169830-garcinia-cambogia-weight-loss-kit-w-colon-cleanse-and-detox?pos=1191
1192,"Features:


Ultrasonic diffuser and humidifier
Automatic shut-off feature
120ml tank
Lasts unto 3.5 hours
Seven color settings
Quiet operation
Easy...",169816,,Color Changing Portable Ultrasonic Aroma Diffuser and Humidifier,$34.99,,$69.98,https://www.livingsocial.com/products/us/tag/home-goods/169816-color-changing-portable-ultrasonic-aroma-diffuser-and-humidifier?pos=1192
1193,Show off your new trendy hair curling style with this Neon Color Hair Curler! This lightweight curler protects your hair against heat and burns whi...,169366,,Professional Neon Color Hair Curler,$29.99,,$99.99,https://www.livingsocial.com/products/us/tag/beauty/169366-professional-neon-color-hair-curler?pos=1193
1194,"Save time and get the freshest corn with this efficient and easy to use kernel removal tool.


Stainless steel blades, safe to the touch.
Small eno...",169360,,Corn Shark - Kernel Removal Tool,$9.99,,$59.99,https://www.livingsocial.com/products/us/tag/home-goods/169360-corn-shark-kernel-removal-tool?pos=1194
1195,"The Nuvita Touchscreen Thermometer is designed to do one job perfectly: help you prepare your food to exact specifications, without having to check...",169326,,"Nuvita Touchscreen Cooking Thermometer for Oven, Stove and BBQ",$14.99,,$29.95,https://www.livingsocial.com/products/us/tag/home-goods/169326-nuvita-touchscreen-cooking-thermometer-for-oven-stove-and-bbq?pos=1195
1196,Tangled wires? Earbuds falling out? Juggling where to put your phone while working out so that you can listen to your favorite tunes and exercise? ...,169320,,Bluetooth Fitness Headband,$29.99,,$54.99,https://www.livingsocial.com/products/us/tag/beauty/169320-bluetooth-fitness-headband?pos=1196
1197,"
WARM AMBIANCE MINUS THE MESS - Enjoy the beauty of melted wax without the actual mess. Say goodbye to the annoyance of cleaning candle drips or tr...",169306,,Flickering LED Candles with Timer (6 Pack),$13.99,,$80,https://www.livingsocial.com/products/us/tag/home-goods/169306-flickering-led-candles-with-timer-6-pack?pos=1197
1198,Who says classic can't be exciting? These gorgeous .925 sterling silver bracelets are must-have items waiting to be added to your jewelry collectio...,169506,,Sterling Silver Spring Bracelets - 6 Styles,$9.99,,$99.99,https://www.livingsocial.com/products/us/tag/fashion/169506-sterling-silver-spring-bracelets-6-styles?pos=1198
1199,"
9.5” L x 1.25” W x 6.5” H
Leather-like Material
Brown Inside Lining
Zipper Closure
Inside Pockets
Outside Pocket with Magnetic Snap Closure
Adjust...",169500,,Personalized Sea Green Bree Crossbody Purse,$24.99,,$85,https://www.livingsocial.com/products/us/tag/fashion/169500-personalized-sea-green-bree-crossbody-purse?pos=1199
1200,These neon colored lights fit your bicycle wheel and create a circle of color when in motion. Good to have for safety as they attract attention eas...,169496,,"4pc Pack Neon LED Lights For Bikes, Cars & Motorcycles",$9.99,,$49.99,https://www.livingsocial.com/products/us/tag/health/169496-4pc-pack-neon-led-lights-for-bikes-cars-motorcycles?pos=1200
1201,"This classic Swarovski crystal hearts are paired with trendy yellow gold for  earrings that are perfect for any look for women of any age.


Measur...",169476,,Crystal Heart Swarovski ELements Hoop Earrings,$9.99,,$39.99,https://www.livingsocial.com/products/us/tag/fashion/169476-crystal-heart-swarovski-elements-hoop-earrings?pos=1201
1202,"This incredible device helps children learn letters, how to spell, numbers, and so much more. They'll even be taking quizzes and learning songs. It...",169470,,Kids Educational Learning Computer,$12.99,,$34.99,https://www.livingsocial.com/products/us/tag/electronics/169470-kids-educational-learning-computer?pos=1202
1203,"Description:


Fabric: Chiffon
Fit: Loose
Color Available: Black
Size: One size
Length : 73 cm / 28 inch 


 *This item measures smaller than regul...",169456,,Womens Swirl Butterfly Chiffon Top,$18.99,,$59.95,https://www.livingsocial.com/products/us/tag/fashion/169456-womens-swirl-butterfly-chiffon-top?pos=1203
1204,This set includes 32 unique brushes to help create an array of different looks. Different shapes and sizes of the bristles and heads allow you to c...,169450,,32-Piece High Quality Makeup Brush Set,$22.99,,$99.95,https://www.livingsocial.com/products/us/tag/beauty/169450-32-piece-high-quality-makeup-brush-set?pos=1204
1205,"2.00 Carat Emerald Princess Cut Stud Earrings in Sterling Silver!

Super gorgeous gemstone earrings! They will arrive in a white gift box packaged ...",169430,,2.00 Carat Princess Cut Emerald Earrings in Sterling Silver,$29.99,,$64.98,https://www.livingsocial.com/products/us/tag/fashion/169430-2-00-carat-princess-cut-emerald-earrings-in-sterling-silver?pos=1205
1206,"
High quality and 100% brand new .
High temperature resistant and easy to clean.
Food grade silicone safe material, non-toxic and odorless
Diving i...",169436,,Loch Ness Monster Cartoon Plastic Soup Spoon,$12.99,,$20,https://www.livingsocial.com/products/us/tag/home-goods/169436-loch-ness-monster-cartoon-plastic-soup-spoon?pos=1206
1207,"This beautiful ring features tiny chains delicately interlocked to form a mesh band. The ring is durable,  flexible and easy to wear. Wear it on an...",169416,,Sterling Silver Mesh Ring with Bonus Swarovski Element Earrings,$14.99,,$199.99,https://www.livingsocial.com/products/us/tag/fashion/169416-sterling-silver-mesh-ring-with-bonus-swarovski-element-earrings?pos=1207
1208,Our 'Joyful' Bracelet is one of our favorites! Its unique design features free-flowing beading which allows for versatility and it's super fun to w...,168466,,Silver Plated Joyful Bracelet,$9.99,,$55,https://www.livingsocial.com/products/us/tag/fashion/168466-silver-plated-joyful-bracelet?pos=1208
1209,This cool gadget is equipped with rechargeable batteries that could be simply recharged via USB cord (included). It has three speed settings and a ...,168336,,Portable Handheld Fan With Rechargeable Battery,$12.99,,$69.98,https://www.livingsocial.com/products/us/tag/home-goods/168336-portable-handheld-fan-with-rechargeable-battery?pos=1209
1210,"Get these beautiful set of stainless steel bagels and keep your wrists adorned at all times.


18k white gold plated stainless steel
5 piece (can b...",168226,,18K White Gold Plated 5 Piece Bangle Set,$12.99,,$114.99,https://www.livingsocial.com/products/us/tag/fashion/168226-18k-white-gold-plated-5-piece-bangle-set?pos=1210
1211,"Just spin from side to side to work your abs 

Helps trim your waist, hips and thighs while burning calories at the same timeCompact and light for ...",167920,,Body Trimmer Waist Twister Disk,$14.99,,$50,https://www.livingsocial.com/products/us/tag/health/167920-body-trimmer-waist-twister-disk?pos=1211
1212,"Save up to $1000 every year with the nation’s first 100% FREE mobile phone service with free voice, text, and data. Make free calls and send texts ...",169290,,100% Free Mobile Phone Service w/ LG G3 - FreedomPop,$169.99,,$279.99,https://www.livingsocial.com/products/us/tag/electronics/169290-100-free-mobile-phone-service-w-lg-g3-freedompop?pos=1212
1213,"Upgrade your bedroom with this stylish 8 piece comforter set.


Soft, cozy, and light comforter set
Modern prints give any room an elegant look
100...",169270,,8-Piece Set: Lucienda Oversized & Overfilled Comforter Set,$69.99,,$230,https://www.livingsocial.com/products/us/tag/home-goods/169270-8-piece-set-lucienda-oversized-overfilled-comforter-set?pos=1213
1214,"The advanced Fingertip Pulse Oximeter is a great idea for those with a range of health conditions, not to mention athletes ready to take their trai...",169146,,Advanced Fingertip Pulse Oximeter,$29.99,,$119.99,https://www.livingsocial.com/products/us/tag/health/169146-advanced-fingertip-pulse-oximeter?pos=1214
1215,"Does your search for the perfect cami know no end? Your search will come to a close with this one. Its lightweight, silky feel, stretch fabric, adj...",168710,,6 Pack Agiato Women's Camisol - Multicolor,$29.99,,$90,https://www.livingsocial.com/products/us/tag/fashion/168710-6-pack-agiato-women-s-camisol-multicolor?pos=1215
1216,"Hands-Free V4.0 Bluetooth Earphone Headset for iPhone, Samsung and all mobile devices. This earphone combines function with fashion, easy to wear a...",168716,,Universal Mini Bluetooth Earphone Headset,$14.99,,$49.99,https://www.livingsocial.com/products/us/tag/electronics/168716-universal-mini-bluetooth-earphone-headset?pos=1216
1217,"Go Canada!  Let everyone know just what you are all aboot!

Always screen printed on our super soft tees.  


Materials: 100% Cotton
Care instructi...",168480,,All Aboot Canada T-shirt,$13.99,,$26.99,https://www.livingsocial.com/products/us/tag/fashion/168480-all-aboot-canada-t-shirt?pos=1217
1218,Stop replacing iPhone charger cables. This product covers the sensitive area where the charging cable meets the charging plug preventing the cable ...,169780,,USB Cable Protector,$12.99,,$39.99,https://www.livingsocial.com/products/us/tag/electronics/169780-usb-cable-protector?pos=1218
1219,Scenery Motion Lamp brought to you by Nite2Lite brings your night time moment to a higher level. Soothing scenery in constant motion makes bedtime ...,169696,,Scenery Motion Lamp Clock,$44.99,,$99.99,https://www.livingsocial.com/products/us/tag/home-goods/169696-scenery-motion-lamp-clock?pos=1219
1220,"Get this simple and charming necklace designed for the fashionista in you.


Beautiful man made amber
Natural oak tree acorn cap with your choice o...",167520,,Boho Acorn + Amber Necklace,$7.99,,$39.99,https://www.livingsocial.com/products/us/tag/fashion/167520-boho-acorn-amber-necklace?pos=1220
1221,"Adorn someones wrist with this luxuriously smooth leather band, just select a sweet statement for the inscription on the stainless steel charm and ...",167410,,Engraved Leather Bracelets - 4 Styles,$9.99,,$49.99,https://www.livingsocial.com/products/us/tag/fashion/167410-engraved-leather-bracelets-4-styles?pos=1221
1222,"This is the solar charger for the real world enthusiast. It's water and shock resistant, with a hook to attach to your key-chain, backpack or purse...",167326,,Go-Green Heavy Duty Solar Charger - 3 Colors,$24.99,,$99,https://www.livingsocial.com/products/us/tag/electronics/167326-go-green-heavy-duty-solar-charger-3-colors?pos=1222
1223,Soniclean Pro 5000 provides the ultimate cleaning with its built in UV sanitizer it also keeps your bristles clean and germ free. The brush has all...,167210,,Soniclean Pro 5000,$59.99,,$99.95,https://www.livingsocial.com/products/us/tag/health/167210-soniclean-pro-5000?pos=1223
1224,"Get this beautiful Cubic Zirconia Necklace in the color of your choice


Sterling silver rhodium plated
1mm round cut cubic zirconia stone
7mm genu...",167166,,2.00 CTW Genuine Gemstone in Sterling Silver Plated Heart Pendant,$12.99,,$157,https://www.livingsocial.com/products/us/tag/fashion/167166-2-00-ctw-genuine-gemstone-in-sterling-silver-plated-heart-pendant?pos=1224
1225,This is the only cordless pump that automatically shuts off air flow when it reaches the desired tire pressure. Ideal for perfect inflation during ...,167146,,HiLine Automatic Wireless Tire Inflator Air Pump Compressor,$44.99,,$120,https://www.livingsocial.com/products/us/tag/home-goods/167146-hiline-automatic-wireless-tire-inflator-air-pump-compressor?pos=1225
1226,Dieting and exercise alone is generally not enough for the average person to lose weight and increase their energy. But thanks to NutriV Weight Los...,166666,,NutriV Fat Burning Weight Loss Drops,$24.99,,$49.99,https://www.livingsocial.com/products/us/tag/health/166666-nutriv-fat-burning-weight-loss-drops?pos=1226
1227,"You've been blessed with a whole lot of hair, now get help taming your tangled mane with this offer


Designed to help smooth and detangle hair whi...",166396,,Magic Detangling Brush - 2 Colors,$4.99,,$24.99,https://www.livingsocial.com/products/us/tag/beauty/166396-magic-detangling-brush-2-colors?pos=1227
1228,Never waste time searching for items in your purse or handbag again! Our colorful purse organizers are designed to fit most handbags (excluding sma...,166376,,Purse Organizer - 9 Colors,$7.99,,$19.99,https://www.livingsocial.com/products/us/tag/fashion/166376-purse-organizer-9-colors?pos=1228
1229,"Add some color accents to your home decor with these beautiful  faux suede decorative pillows.

Product Care: 100% Polyester. Washable. Imported.
",166226,,Ultra-Soft Faux-Fur Decorative Pillow - 4 colors,$14.99,,$45,https://www.livingsocial.com/products/us/tag/home-goods/166226-ultra-soft-faux-fur-decorative-pillow-4-colors?pos=1229
1230,"Get these gorgeous ladies stainless steel huggie earrings available in stainless steel, 18k gold plated stainless steel, and 18k rose gold plated s...",166150,,18k Gold Plated Huggie Earrings,$7.99,,$99.99,https://www.livingsocial.com/products/us/tag/fashion/166150-18k-gold-plated-huggie-earrings?pos=1230
1231,Travel in sturdy and affordable style with your family’s essentials neatly packed in the Traveler’s Choice 4-piece packing cube sets from Travel Se...,165416,,Amsterdam Lightweight 4-Piece Delux Meshed Packing Cube Travel Set,$19.99,,$79.98,https://www.livingsocial.com/products/us/tag/home-goods/165416-amsterdam-lightweight-4-piece-delux-meshed-packing-cube-travel-set?pos=1231
1232,"Ready to use: Gel polish &amp; Nail Lacquer Acetone prep pad. 

You've discovered the wonderful world of gel polish. Oh, how delightful it is to ha...",165380,,Gel and Nail Polish Remover Wraps - (200-Count),$7.99,,$19.98,https://www.livingsocial.com/products/us/tag/beauty/165380-gel-and-nail-polish-remover-wraps-200-count?pos=1232
1233,"Stay organized on all of those long winded trips with this Passport and Documents Folder. Perfect for all travelers everywhere, this easy clutch li...",165263,,Passport & Documents Holder - Assorted Colors,$8.99,,$34.99,https://www.livingsocial.com/products/us/tag/home-goods/165263-passport-documents-holder-assorted-colors?pos=1233
